Date,Unnamed: 0,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total_Traded_Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,year,month,Day_Perc_Change,Trend,avg,upper,lower
2017-05-15,0,INFRATEL,EQ,374.7,375.8,375.8,368.65,372.0,371.05,371.08,761032,282403754.56,27740,357531,46.98,2017,5,0.0,Slight or No change,,,
2017-05-16,1,INFRATEL,EQ,371.05,371.15,380.85,370.05,375.75,376.55,377.05,1346372,507649562.6,42924,677288,50.3,2017,5,1.4822800161703231,Positive,,,
2017-05-17,2,INFRATEL,EQ,376.55,377.6,396.5,375.1,388.95,389.9,383.22,2268036,869156755.9200001,83975,1371275,60.46,2017,5,3.545345903598452,Among top gainers,,,
2017-05-18,3,INFRATEL,EQ,389.9,388.4,388.85,377.0,378.55,378.9,382.6,2014628,770796672.8000001,50270,1025637,50.91,2017,5,-2.821236214413958,Negative,,,
2017-05-19,4,INFRATEL,EQ,378.9,381.1,387.5,374.85,379.4,378.95,379.43,2031322,770744506.46,63099,1020560,50.24,2017,5,0.01319609395620258,Slight or No change,,,
2017-05-22,5,INFRATEL,EQ,378.95,383.7,389.3,376.15,388.2,387.95,385.56,2772691,1069038741.96,73071,1228540,44.31,2017,5,2.374983507058981,Positive,,,
2017-05-23,6,INFRATEL,EQ,387.95,385.0,390.0,378.4,379.9,379.85,382.84,3811223,1459088613.32,60957,2039492,53.51,2017,5,-2.0878979249903233,Negative,,,
2017-05-24,7,INFRATEL,EQ,379.85,379.85,382.0,367.2,368.45,369.0,372.49,3134390,1167528931.1,83856,1860115,59.35,2017,5,-2.856390680531795,Negative,,,
2017-05-25,8,INFRATEL,EQ,369.0,369.1,376.35,365.85,368.7,373.5,371.8,7287977,2709669848.6,89929,6053646,83.06,2017,5,1.2195121951219523,Positive,,,
2017-05-26,9,INFRATEL,EQ,373.5,370.0,377.2,366.3,369.5,369.95,371.45,1918463,712613081.35,43541,788763,41.11,2017,5,-0.9504685408299852,Slight negative,,,
2017-05-29,10,INFRATEL,EQ,369.95,370.0,381.4,367.7,377.1,379.35,376.57,3887542,1463931690.94,54997,2827505,72.73,2017,5,2.5408839032301733,Positive,,,
2017-05-30,11,INFRATEL,EQ,379.35,379.35,379.85,365.65,373.0,372.25,371.46,1273594,473089227.24,28694,420437,33.01,2017,5,-1.8716225121919168,Negative,,,
